,Player_ID,GAME_DATE,MIN,REB,FGA,DAYS_REST
182,2544,2013-02-23,32,10,12,-1
183,2544,2013-02-21,34,12,15,-2
184,2544,2013-02-20,40,6,15,-1
185,2544,2013-02-14,40,12,24,-6
186,2544,2013-02-12,39,6,15,-2
187,2544,2013-02-10,36,7,18,-2
188,2544,2013-02-08,31,5,11,-2
189,2544,2013-02-06,37,6,18,-2
190,2544,2013-02-04,38,8,14,-2
191,2544,2013-02-03,40,8,16,-1
192,2544,2013-02-01,42,6,17,-2
193,2544,2013-01-30,34,9,18,-2
194,2544,2013-01-27,52,16,31,-3
195,2544,2013-01-25,33,7,14,-2
196,2544,2013-01-23,45,10,23,-2
197,2544,2013-01-17,42,7,25,-6
198,2544,2013-01-16,31,7,20,-1
199,2544,2013-01-14,44,4,19,-2
200,2544,2013-01-12,29,5,10,-2
201,2544,2013-01-10,43,10,16,-2
202,2544,2013-01-08,43,10,20,-2
203,2544,2013-01-06,35,2,17,-2
204,2544,2013-01-04,41,6,14,-2
205,2544,2013-01-02,42,12,20,-2
206,2544,2012-12-31,48,8,22,-2
207,2544,2012-12-29,36,6,20,-2
208,2544,2012-12-28,44,6,22,-1
209,2544,2012-12-26,39,12,19,-2
210,2544,2012-12-25,42,8,20,-1
211,2544,2012-12-22,38,9,20,-3
212,2544,2012-12-20,31,9,13,-2
213,2544,2012-12-18,42,6,18,-2
214,2544,2012-12-15,31,10,15,-3
215,2544,2012-12-12,42,3,23,-3
216,2544,2012-12-10,40,7,16,-2
217,2544,2012-12-08,36,5,16,-2
218,2544,2012-12-06,39,10,20,-2
219,2544,2012-12-04,43,13,24,-2
220,2544,2012-12-01,37,9,15,-3
221,2544,2012-11-29,39,9,16,-2
222,2544,2012-11-24,40,6,16,-5
223,2544,2012-11-21,43,10,21,-3
224,2544,2012-11-17,41,7,20,-4
225,2544,2012-11-15,42,7,23,-2
226,2544,2012-11-14,41,5,23,-1
227,2544,2012-11-12,40,10,26,-2
228,2544,2012-11-11,36,10,19,-1
229,2544,2012-11-09,36,11,17,-2
230,2544,2012-11-07,30,12,12,-2
231,2544,2012-11-05,30,11,17,-2
232,2544,2012-11-03,39,9,17,-2
233,2544,2012-11-02,37,7,16,-1
234,2544,2012-10-30,29,10,16,-3
235,201935,2013-04-17,45,8,25,0
236,201935,2013-04-15,34,4,18,-2
237,201935,2013-04-14,32,4,16,-1
238,201935,2013-04-12,44,7,24,-2
239,201935,2013-04-09,44,6,21,-3
240,201935,2013-04-06,29,4,10,-3
241,201935,2013-04-05,35,7,21,-1
242,201935,2013-04-03,40,7,19,-2
243,201935,2013-03-29,27,1,9,-5
244,201935,2013-03-27,43,4,24,-2
245,201935,2013-03-24,40,9,16,-3
246,201935,2013-03-22,31,1,9,-2
247,201935,2013-03-20,38,2,14,-2
248,201935,2013-03-17,40,10,16,-3
249,201935,2013-03-15,43,7,16,-2
250,201935,2013-03-13,32,2,7,-2
251,201935,2013-03-09,42,5,17,-4
252,201935,2013-03-08,42,6,17,-1
253,201935,2013-03-06,39,4,17,-2
254,201935,2013-03-03,30,4,10,-3
255,201935,2013-03-01,42,7,18,-2
256,201935,2013-02-27,38,2,18,-2
257,201935,2013-02-23,42,4,23,-4
258,201935,2013-02-22,42,5,14,-1
259,201935,2013-02-20,44,7,19,-2
260,201935,2013-02-12,39,7,22,-8
261,201935,2013-02-10,40,6,20,-2
262,201935,2013-02-08,38,7,16,-2
263,201935,2013-02-06,41,12,16,-2
264,201935,2013-02-05,30,2,11,-1
265,201935,2013-02-02,40,11,11,-3
266,201935,2013-01-30,42,5,13,-3
267,201935,2013-01-28,28,3,15,-2
268,201935,2013-01-26,34,3,15,-2
269,201935,2013-01-25,36,4,15,-1
270,201935,2013-01-23,39,3,17,-2
271,201935,2013-01-21,41,7,20,-2
272,201935,2013-01-19,39,7,18,-2
273,201935,2013-01-18,41,5,19,-1
274,201935,2013-01-16,37,8,23,-2
275,201935,2013-01-15,35,4,20,-1
276,201935,2013-01-12,45,9,19,-3
277,201935,2013-01-11,40,1,19,-1
278,201935,2013-01-09,41,4,18,-2
279,201935,2013-01-08,40,6,19,-1
280,201935,2013-01-05,38,2,17,-3
281,201935,2013-01-04,38,2,18,-1
282,201935,2013-01-02,40,2,23,-2
283,201935,2012-12-31,34,2,17,-2
