
12/31/12,Bobcats,,Michael Kidd-Gilchrist,scratched cornea (DNP)
12/31/12,Bulls,,Kirk Hinrich,left knee injury (DNP)
12/31/12,Grizzlies,,Quincy Pondexter,placed on IL with sprained MCL in left knee
12/31/12,Heat,,Terrel Harris,placed on IL
12/31/12,Heat,Udonis Haslem,,activated from IL
12/31/12,Magic,,E'Twaun Moore,sprained left elbow (DNP)
12/31/12,Magic,,Gustavo Ayon,bruised right thigh (DNP)
12/31/12,Magic,,Jameer Nelson,sore left hip (DNP)
12/31/12,Nets,,Gerald Wallace,placed on IL with sore/bruised left knee
12/31/12,Nets,Kris Humphries,,activated from IL
12/31/12,Pacers,,George Hill,strained right groin (DNP)
12/31/12,Spurs,,Gary Neal,strained right calf (DNP)
12/31/12,Suns,,Diante Garrett,placed on IL
12/31/12,Suns,Jermaine O'Neal,,activated from IL
12/31/12,Grizzlies,Tony Wroten Jr.,,activated from IL
12/31/12,Thunder,DeAndre Liggins,,activated from IL
12/31/12,Thunder,Perry Jones III,,activated from IL
1/1/13,Blazers,,Meyers Leonard,placed on IL with sprained right ankle
1/1/13,Blazers,Wes Matthews Jr.,,activated from IL
1/1/13,Hawks,,Anthony Morrow,strained right hip (DNP)
1/1/13,Kings,,Marcus Thornton ,sprained left ankle (DNP)
1/1/13,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/1/13,Knicks,,Raymond Felton,placed on IL with fractured right pinky finger
1/1/13,Knicks,Amar'e Stoudemire,,activated from IL
1/1/13,Lakers,,Chris Duhon,back spasms (DNP)
1/1/13,Mavericks,,Brandan Wright,placed on IL with strained left quadricep
1/1/13,Mavericks,Bernard James,,activated from IL
1/1/13,Nuggets,,Ty Lawson,strained left Achilles tendon (DNP)
1/1/13,Wizards,,A.J. Price,fractured right hand (DNP)
1/1/13,Wizards,,Trevor Ariza,strained left calf (DNP)
1/2/13,Bucks,,Beno Udrih,placed on IL with right ankle injury
1/2/13,Bucks,Doron Lamb,,activated from IL
1/2/13,Bulls,,Joakim Noah,flu (DNP)
1/2/13,Bulls,,Vladimir Radmanovic,flu (DNP)
1/2/13,Celtics,,Chris Wilcox,placed on IL sprained right thumb
1/2/13,Celtics,,Kris Joseph,sprained right ankle (DNP)
1/2/13,Celtics,Avery Bradley,,activated from IL
1/2/13,Hornets,,Eric Gordon,right knee injury (DNP)
1/2/13,Jazz,,Mo Williams,surgery on right thumb (out indefinitely)
1/2/13,Jazz,,Mo Williams,recovering from surgery on right thumb (DNP)
1/2/13,Kings,,Marcus Thornton ,sprained left ankle (DNP)
1/2/13,Magic,,E'Twaun Moore,sprained left elbow (DNP)
1/2/13,Nets,,C.J. Watson,right knee injury (DTD)
1/2/13,Nets,,Jerry Stackhouse,placed on IL with hamstring injury
1/2/13,Nets,Gerald Wallace,,activated from IL
1/2/13,Raptors,,Linas Kleiza,sore right knee (DNP)
1/2/13,Rockets,,Cole Aldrich,flu (DNP)
1/2/13,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
1/2/13,Timberwolves,,Ricky Rubio,back spasms (DNP)
1/2/13,Wizards,,A.J. Price,fractured right hand (DNP)
1/2/13,Wizards,,Trevor Ariza,strained left calf (DNP)
1/2/13,Celtics,,Fab Melo,concussion (DTD)
1/3/13,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/3/13,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
1/3/13,Timberwolves,,Ricky Rubio,back spasms (DNP)
1/4/13,Bobcats,Tyrus Thomas,,activated from IL
1/4/13,Bucks,,Doron Lamb,placed on IL
1/4/13,Bucks,Beno Udrih,,activated from IL
1/4/13,Cavaliers,,Jon Leuer,placed on IL
1/4/13,Cavaliers,Samardo Samuels,,activated from IL
1/4/13,Clippers,,Jamal Crawford,sore left foot (DNP)
