Date,Team,Acquired,Relinquished,Notes
2017-03-23,Knicks,,Derrick Rose,sore right foot (DTD)
2017-03-23,Knicks,,Lance Thomas,sore right hip (out for season)
2017-03-23,Mavericks,,Manny Harris,placed on IL
2017-03-23,Mavericks,Jarrod Uthoff,,activated from IL
2017-03-23,Nets,Jeremy Lin,,returned to lineup
2017-03-23,Pacers,,Glenn Robinson III,strained left calf (out for season)
2017-03-23,Spurs,,Joel Anthony,placed on IL
2017-03-23,Spurs,David Lee,,activated from IL
2017-03-23,Suns,,T.J. Warren,left foot injury (DTD)
2017-03-23,Suns,Alan Williams,,returned to lineup
2017-03-24,76ers,,Jahlil Okafor,sore right knee (out for season)
2017-03-24,76ers,,Joel Embiid,surgery on left knee to repair torn meniscus (out for season)
2017-03-24,Celtics,,Avery Bradley,illness (DTD)
2017-03-24,Hornets,,Johnny O'Bryant III,placed on IL with sprained right ankle (out for season)
2017-03-24,Kings,Kosta Koufos,,returned to lineup
2017-03-24,Kings,Ty Lawson,,returned to lineup
2017-03-24,Nuggets,,Mike Miller,placed on IL
2017-03-24,Nuggets,Danilo Gallinari,,activated from IL
2017-03-24,Warriors,Andre Iguodala,,activated from IL
2017-03-24,Wizards,,Sheldon Mac,placed on IL
2017-03-24,Wizards,Daniel Ochefu,,activated from IL
2017-03-24,Hornets,Miles Plumlee,,activated from IL
2017-03-24,Hornets,,Miles Plumlee,strained right calf (DTD)
2017-03-25,Cavaliers,,Iman Shumpert,placed on IL with sore right knee
2017-03-25,Cavaliers,Larry Sanders ,,activated from IL
2017-03-25,Knicks,,Carmelo Anthony,placed on IL with sore left knee
2017-03-25,Knicks,Derrick Rose,,returned to lineup
2017-03-25,Knicks,Maurice N'dour,,activated from IL
2017-03-25,Mavericks,,Jarrod Uthoff,placed on IL
2017-03-25,Mavericks,A.J. Hammons,,activated from IL
2017-03-25,Raptors,,DeMarre Carroll,sore lower back (DTD)
2017-03-25,Rockets,,Ryan Anderson,sprained right ankle (DTD)
2017-03-25,Spurs,,Danny Green,placed on IL
2017-03-25,Spurs,Joel Anthony,,activated from IL
2017-03-25,Wizards,,Bojan Bogdanovic,placed on IL with back injury
2017-03-25,Wizards,Sheldon Mac,,activated from IL
2017-03-26,76ers,,Tiago Splitter,strained right calf (DTD)
2017-03-26,Celtics,Avery Bradley,,returned to lineup
2017-03-26,Clippers,,J.J. Redick,placed on IL with sprained right ankle
2017-03-26,Clippers,Wes Johnson,,activated from IL
2017-03-26,Grizzlies,,Marc Gasol,strained left foot (DTD)
2017-03-26,Hawks,,Thabo Sefolosha,strained right groin (DTD)
2017-03-26,Kings,,Ty Lawson,stiffness in right knee (DTD)
2017-03-26,Lakers,,Brandon Ingram,placed on IL with patellar tendinitis in knee
2017-03-26,Lakers,Timofey Mozgov,,activated from IL
2017-03-26,Nuggets,,Roy Hibbert,placed on IL
2017-03-26,Nuggets,Mike Miller,,activated from IL
2017-03-26,Pacers,,Glenn Robinson III,placed on IL with strained left calf (out for season)
2017-03-26,Pacers,Joe Young,,activated from IL
2017-03-26,Pelicans,,DeMarcus Cousins,sprained right ankle (DTD)
2017-03-26,Rockets,,Ryan Anderson,placed on IL with sprained right ankle
2017-03-26,Rockets,Troy Williams,,activated from IL
2017-03-26,Suns,,Brandon Knight,rest (DTD)
2017-03-26,Suns,,Eric Bledsoe,rest (out for season)
2017-03-26,Suns,,Leandro Barbosa,sore right hamstring (out for season)
2017-03-26,Suns,,Tyson Chandler,rest (DTD)
2017-03-26,Suns,T.J. Warren,,returned to lineup
2017-03-26,Grizzlies,Wade Baldwin IV,,activated from IL
2017-03-26,Pelicans,Cheick Diallo,,activated from IL
2017-03-27,Cavaliers,,Kyle Korver,sore left foot (DTD)
2017-03-27,Cavaliers,,Kyle Korver,placed on IL with sore left foot
2017-03-27,Cavaliers,,Larry Sanders ,placed on IL
2017-03-27,Cavaliers,Kay Felder,,activated from IL
2017-03-27,Jazz,,Gordon Hayward,bruised left quadricep (DTD)
2017-03-27,Jazz,Shelvin Mack,,activated from IL
2017-03-27,Kings,Ty Lawson,,returned to lineup
2017-03-27,Knicks,,Lance Thomas,placed on IL with right hip injury (out for season)
2017-03-27,Knicks,Carmelo Anthony,,activated from IL
2017-03-27,Mavericks,,A.J. Hammons,placed on IL
2017-03-27,Mavericks,,Seth Curry,placed on IL with left shoulder injury
2017-03-27,Mavericks,Jarrod Uthoff,,activated from IL
2017-03-27,Mavericks,Manny Harris,,activated from IL
2017-03-27,Pacers,,Al Jefferson,sprained left ankle (DTD)
2017-03-27,Pistons,,Reggie Bullock,placed on IL with sprained right foot
2017-03-27,Pistons,,Reggie Jackson ,placed on IL with left knee injury (out for season)
2017-03-27,Pistons,Henry Ellenson,,activated from IL
2017-03-27,Pistons,Michael Gbinije,,activated from IL
2017-03-27,Spurs,,Joel Anthony,placed on IL
2017-03-27,Spurs,Danny Green,,activated from IL
2017-03-27,Cavaliers,Iman Shumpert,,activated from IL
2017-03-27,Cavaliers,,Iman Shumpert,sore right knee (DTD)
2017-03-28,76ers,,Gerald Henderson Jr.,sore left hip (DTD)
2017-03-28,76ers,,Sergio Rodriguez,strained / tightness in left hamstring (out for season)
2017-03-28,76ers,Tiago Splitter,,activated from IL
2017-03-28,Nets,,Andrew Nicholson,placed on IL
2017-03-28,Nets,Sean Kilpatrick,,activated from IL
2017-03-28,Nuggets,,Mike Miller,placed on IL
2017-03-28,Nuggets,Roy Hibbert,,activated from IL
2017-03-28,Pacers,,Rodney Stuckey,placed on IL with strained patellar tendon in left knee
2017-03-28,Pacers,Georges Niang,,activated from IL
2017-03-28,Suns,,Devin Booker,placed on IL with ankle injury
2017-03-28,Suns,Ronnie Price,,activated from IL
2017-03-28,Wizards,,Daniel Ochefu,placed on IL
2017-03-28,Wizards,Bojan Bogdanovic,,activated from IL
2017-03-29,76ers,,Robert Covington,swelling in right knee (out for season)
2017-03-29,76ers,Gerald Henderson Jr.,,returned to lineup
2017-03-29,Clippers,,Wes Johnson,placed on IL
2017-03-29,Clippers,J.J. Redick,,activated from IL
2017-03-29,Grizzlies,,JaMychal Green,sore left shoulder (DTD)
2017-03-29,Hawks,,Mike Dunleavy Jr.,placed on IL with sore right ankle
2017-03-29,Hawks,Kent Bazemore,,activated from IL
2017-03-29,Hornets,Miles Plumlee,,returned to lineup
2017-03-29,Jazz,,George Hill,placed on IL with strained groin
2017-03-29,Jazz,,Raul Neto,strained right groin (DTD)
2017-03-29,Jazz,Gordon Hayward,,returned to lineup
2017-03-29,Knicks,,Derrick Rose,placed on IL with torn meniscus in left knee / sore right foot (out for season)
2017-03-29,Mavericks,,Salah Mejri,knee injury (DTD)
2017-03-29,Mavericks,,Salah Mejri,placed on IL with stomach ailment / knee injury
2017-03-29,Mavericks,A.J. Hammons,,activated from IL
2017-03-29,Mavericks,Seth Curry,,activated from IL
2017-03-29,Nets,,Quincy Acy,ankle injury (DTD)
2017-03-29,Pelicans,DeMarcus Cousins,,returned to lineup
2017-03-29,Raptors,DeMarre Carroll,,returned to lineup
2017-03-29,Warriors,,Kevon Looney,strained left hip (DTD)
2017-03-29,Wizards,,Sheldon Mac,placed on IL
2017-03-29,Wizards,Daniel Ochefu,,activated from IL
2017-03-29,Knicks,Joakim Noah,,returned to lineup
2017-03-29,Knicks,Joakim Noah,,activated from IL
2017-03-29,Pacers,Rodney Stuckey,,activated from IL
2017-03-30,76ers,,Robert Covington,torn meniscus in right knee (out for season)
2017-03-30,Bulls,,Cameron Payne,placed on IL
2017-03-30,Bulls,Cristiano Felicio,,activated from IL
2017-03-30,Cavaliers,,Richard Jefferson,left knee injury (DTD)
2017-03-30,Cavaliers,Iman Shumpert,,returned to lineup
2017-03-30,Clippers,,Austin Rivers,strained left hamstring (DTD)
2017-03-30,Nets,,Quincy Acy,placed on IL with ankle injury
2017-03-30,Nets,Andrew Nicholson,,activated from IL
2017-03-30,Nuggets,,Darrell Arthur,sore left knee (DTD)
2017-03-30,Rockets,Chinanu Onuaku,,activated from IL
2017-03-30,Suns,,Leandro Barbosa,placed on IL with sore right hamstring (out for season)
2017-03-30,Suns,Devin Booker,,activated from IL
2017-03-31,Blazers,,Jusuf Nurkic,fractured fibula in right leg (out for season)
2017-03-31,Bucks,,John Henson,placed on IL with sprained left thumb
2017-03-31,Bucks,,Malcolm Brogdon,sore back (DTD)
2017-03-31,Bucks,Michael Beasley,,activated from IL
2017-03-31,Celtics,,Avery Bradley,placed on IL with gastroenteritis
2017-03-31,Grizzlies,,Andrew Harrison,placed on IL with sore right ankle
2017-03-31,Grizzlies,Jarell Martin,,activated from IL
2017-03-31,Jazz,,Raul Neto,strained right groin (DTD)
2017-03-31,Knicks,,Carmelo Anthony,placed on IL with sore lower back
2017-03-31,Lakers,,Ivica Zubac,sprained right ankle (out for season)
2017-03-31,Mavericks,,A.J. Hammons,placed on IL
2017-03-31,Mavericks,,Seth Curry,sore left shoulder (out for season)
2017-03-31,Mavericks,Salah Mejri,,activated from IL
2017-03-31,Nuggets,,Will Barton,placed on IL with sore left foot
2017-03-31,Nuggets,Malik Beasley,,activated from IL
2017-03-31,Nuggets,Mike Miller,,activated from IL
2017-03-31,Pelicans,,Alex Ajinca,hip injury (DTD)
2017-03-31,Rockets,,Troy Williams,placed on IL
2017-03-31,Thunder,,Taj Gibson,placed on IL with illness
2017-03-31,Thunder,Kyle Singler,,activated from IL
2017-03-31,Warriors,,Patrick McCaw,leg cramps (DTD)
2017-03-31,Wizards,,Daniel Ochefu,placed on IL
2017-03-31,Wizards,Sheldon Mac,,activated from IL
2017-04-01,Blazers,,Jusuf Nurkic,placed on IL with fractured fibula in right leg
2017-04-01,Hawks,,Malcolm Delaney,back spasms (DTD)
2017-04-01,Hawks,,Thabo Sefolosha,placed on IL with strained right groin
2017-04-01,Hawks,Mike Dunleavy Jr.,,activated from IL
2017-04-01,Lakers,,Ivica Zubac,placed on IL with sprained right ankle (out for season)
2017-04-01,Lakers,Brandon Ingram,,activated from IL
2017-04-01,Spurs,,Danny Green,bruised left quadricep (DTD)
2017-04-02,76ers,,Sergio Rodriguez,strained left knee (out for season)
2017-04-02,Cavaliers,,Kay Felder,placed on IL
2017-04-02,Cavaliers,Richard Jefferson,,returned to lineup
2017-04-02,Hawks,,Malcolm Delaney,placed on IL with back spasms
2017-04-02,Hawks,Paul Millsap,,activated from IL
2017-04-02,Jazz,,Raul Neto,strained right groin (DTD)
2017-04-02,Lakers,,Tarik Black,placed on IL with knee injury
2017-04-02,Lakers,Luol Deng,,activated from IL
2017-04-02,Mavericks,,Seth Curry,placed on IL with sore left shoulder (out for season)
2017-04-02,Mavericks,A.J. Hammons,,activated from IL
2017-04-02,Nets,,Andrew Nicholson,placed on IL
2017-04-02,Nets,Quincy Acy,,activated from IL
2017-04-02,Nuggets,,Darrell Arthur,placed on IL with sore left knee
2017-04-02,Nuggets,,Jameer Nelson,calf injury (DTD)
2017-04-02,Pacers,,Georges Niang,placed on IL
2017-04-02,Pelicans,Alex Ajinca,,returned to lineup
2017-04-02,Raptors,,P.J. Tucker,placed on IL with sore left knee
2017-04-02,Raptors,Bruno Caboclo,,activated from IL
2017-04-02,Rockets,,James Harden,placed on IL with illness
2017-04-02,Spurs,,Danny Green,placed on IL with bruised left quadricep
2017-04-02,Spurs,,LaMarcus Aldridge,sprained left/right thumb (DTD)
2017-04-02,Spurs,Joel Anthony,,activated from IL
2017-04-02,Suns,,T.J. Warren,placed on IL with illness
2017-04-02,Suns,Dragan Bender,,activated from IL
2017-04-02,Thunder,,Kyle Singler,placed on IL
2017-04-02,Thunder,Taj Gibson,,activated from IL
2017-04-02,Warriors,Patrick McCaw,,returned to lineup
2017-04-02,Wizards,,Sheldon Mac,placed on IL
2017-04-02,Wizards,Daniel Ochefu,,activated from IL
2017-04-02,Cavaliers,Larry Sanders ,,activated from IL
2017-04-02,Nuggets,Malik Beasley,,activated from IL
2017-04-02,Rockets,Troy Williams,,activated from IL
2017-04-02,Rockets,Isaiah Taylor,,activated from IL
2017-04-03,Rockets,,Sam Dekker,fractured left hand (out indefinitely)
2017-04-04,76ers,,Sergio Rodriguez,strained left hamstring (out for season)
2017-04-04,Blazers,,Tim Quarterman,placed on IL
2017-04-04,Cavaliers,Kyle Korver,,activated from IL
2017-04-04,Grizzlies,,Tony Allen,placed on IL with left eye injury
2017-04-04,Grizzlies,Andrew Harrison,,activated from IL
2017-04-04,Grizzlies,JaMychal Green,,returned to lineup
2017-04-04,Grizzlies,Marc Gasol,,returned to lineup
2017-04-04,Grizzlies,Tony Allen,,activated from IL
2017-04-04,Jazz,,Rodney Hood,sore right knee (DTD)
2017-04-04,Kings,,Anthony Tolliver,strained right hip / lower back (DTD)
2017-04-04,Kings,,Arron Afflalo,strained lower back / hip (DTD)
2017-04-04,Kings,,Darren Collison,rest (DTD)
2017-04-04,Kings,,Kosta Koufos,rest (DTD)
2017-04-04,Kings,,Ty Lawson,rest (DTD)
2017-04-04,Knicks,,Kristaps Porzingis,placed on IL with sore lower back
2017-04-04,Knicks,Carmelo Anthony,,activated from IL
2017-04-04,Mavericks,,Dirk Nowitzki,sore right Achilles (DTD)
2017-04-04,Mavericks,,Wes Matthews Jr.,rest (DTD)
2017-04-04,Nets,,Isaiah Whitehead,placed on IL with sprained left ankle
2017-04-04,Nets,Andrew Nicholson,,activated from IL
2017-04-04,Raptors,,Bruno Caboclo,placed on IL
2017-04-04,Raptors,P.J. Tucker,,activated from IL
2017-04-04,Spurs,LaMarcus Aldridge,,returned to lineup
2017-04-04,Warriors,Kevon Looney,,returned to lineup
2017-04-04,Blazers,Jusuf Nurkic,,activated from IL
2017-04-04,Blazers,,Jusuf Nurkic,fractured fibula in right leg (DTD)
2017-04-04,Cavaliers,,Larry Sanders ,placed on IL
2017-04-05,Cavaliers,,Tristan Thompson,placed on IL with sprained right thumb
2017-04-05,Cavaliers,Larry Sanders ,,activated from IL
2017-04-05,Celtics,Avery Bradley,,activated from IL
2017-04-05,Clippers,,Austin Rivers,placed on IL with strained left hamstring
2017-04-05,Clippers,Wes Johnson,,activated from IL
2017-04-05,Grizzlies,,Mike Conley Jr.,eye injury (DTD)
2017-04-05,Grizzlies,,Mike Conley Jr.,placed on IL with laceration above right eye
2017-04-05,Heat,,Luke Babbitt,strained right hip flexor (out for season)
2017-04-05,Knicks,,Derrick Rose,surgery on left knee to repair torn meniscus (out for season)
2017-04-05,Lakers,,D'Angelo Russell,placed on IL with sore left knee
2017-04-05,Lakers,Tarik Black,,activated from IL
2017-04-05,Mavericks,Dirk Nowitzki,,returned to lineup
2017-04-05,Mavericks,Wes Matthews Jr.,,returned to lineup
2017-04-05,Nuggets,,Malik Beasley,placed on IL
2017-04-05,Nuggets,Darrell Arthur,,activated from IL
2017-04-05,Nuggets,Jameer Nelson,,returned to lineup
2017-04-05,Pistons,,Michael Gbinije,placed on IL with illness
2017-04-05,Pistons,Reggie Bullock,,activated from IL
2017-04-05,Raptors,,Pascal Siakam,placed on IL
2017-04-05,Raptors,Kyle Lowry,,activated from IL
2017-04-05,Rockets,,Chinanu Onuaku,placed on IL
2017-04-05,Rockets,,Sam Dekker,placed on IL with fractured left hand
2017-04-05,Rockets,James Harden,,activated from IL
2017-04-05,Spurs,,Manu Ginobili,bruised right quadriceps (DTD)
2017-04-05,Suns,,Brandon Knight,placed on IL
2017-04-05,Suns,T.J. Warren,,activated from IL
2017-04-05,Thunder,,Alex Abrines,placed on IL with sprained knee
2017-04-05,Thunder,Kyle Singler,,activated from IL
2017-04-05,Warriors,,Andre Iguodala,rest (DTD)
2017-04-05,Warriors,,Draymond Green,rest (DTD)
2017-04-05,Celtics,Jordan Mickey,,activated from IL
2017-04-06,Blazers,,Jusuf Nurkic,placed on IL with fractured fibula in right leg
2017-04-06,Blazers,Tim Quarterman,,activated from IL
2017-04-06,Bulls,,Rajon Rondo,placed on IL with sprained right wrist
2017-04-06,Bulls,Cameron Payne,,activated from IL
2017-04-06,Hawks,,Kris Humphries,placed on IL
2017-04-06,Hawks,Malcolm Delaney,,activated from IL
2017-04-06,Knicks,,Chasson Randle,placed on IL with sprained left ankle
2017-04-06,Magic,,Evan Fournier,placed on IL with sore right wrist
2017-04-06,Nets,,Sean Kilpatrick,placed on IL with strained/tightness in left hamstring (out for season)
2017-04-06,Nets,Isaiah Whitehead,,activated from IL
2017-04-06,Nuggets,,Jameer Nelson,strained right calf (out for season)
2017-04-06,Pacers,Al Jefferson,,returned to lineup
2017-04-06,Pelicans,,DeMarcus Cousins,tendinitis in right Achilles (out for season)
2017-04-06,Wizards,,Markieff Morris,placed on IL with sore right ankle
2017-04-06,Wizards,Chris McCullough,,activated from IL
2017-04-06,Knicks,Kristaps Porzingis,,activated from IL
2017-04-06,Knicks,,Kristaps Porzingis,sore lower back (out for season)
2017-04-07,Grizzlies,,Jarell Martin,placed on IL
2017-04-07,Grizzlies,Mike Conley Jr.,,activated from IL
2017-04-07,Hawks,,Dennis Schroder,rest / foot injury (DTD)
2017-04-07,Hawks,,Dwight Howard,rest (DTD)
2017-04-07,Hawks,,Kent Bazemore,bone bruise in right knee (DTD)
2017-04-07,Hawks,,Paul Millsap,placed on IL with sore left knee
2017-04-07,Hawks,Kris Humphries,,activated from IL
2017-04-07,Jazz,,Raul Neto,placed on IL with strained right groin
2017-04-07,Jazz,Derrick Favors,,activated from IL
2017-04-07,Jazz,Rodney Hood,,returned to lineup
2017-04-07,Kings,,Garrett Temple,rest (DTD)
2017-04-07,Kings,,Kosta Koufos,rest (DTD)
2017-04-07,Kings,Anthony Tolliver,,returned to lineup
2017-04-07,Kings,Arron Afflalo,,returned to lineup
2017-04-07,Kings,Darren Collison,,returned to lineup
2017-04-07,Knicks,,Carmelo Anthony,sore left knee (DTD)
2017-04-07,Knicks,Chasson Randle,,activated from IL
2017-04-07,Lakers,,Luol Deng,placed on IL
2017-04-07,Lakers,D'Angelo Russell,,activated from IL
2017-04-07,Magic,Evan Fournier,,activated from IL
2017-04-07,Nuggets,,Jameer Nelson,placed on IL with strained right calf (out for season)
2017-04-07,Nuggets,Malik Beasley,,activated from IL
2017-04-07,Rockets,,Clint Capela,placed on IL
2017-04-07,Rockets,Chinanu Onuaku,,activated from IL
2017-04-07,Rockets,Ryan Anderson,,activated from IL
2017-04-07,Spurs,, Tony Parker,rest (DTD)
2017-04-07,Spurs,,Manu Ginobili,rest (DTD)
2017-04-07,Spurs,,Kawhi Leonard,rest (DTD)
2017-04-07,Spurs,,LaMarcus Aldridge,rest (DTD)
2017-04-07,Spurs,,Pau Gasol,rest (DTD)
2017-04-07,Suns,,Tyson Chandler,placed on IL
2017-04-07,Suns,Brandon Knight,,activated from IL
2017-04-07,Thunder,,Andre Roberson,sore left knee (DTD)
2017-04-08,Blazers,,Allen Crabbe,sore left foot (DTD)
2017-04-08,Bucks,,Malcolm Brogdon,placed on IL with sore back
2017-04-08,Bucks,Jabari Parker,,activated from IL
2017-04-08,Bulls,,Cameron Payne,placed on IL
2017-04-08,Bulls,Dwyane Wade,,activated from IL
2017-04-08,Celtics,,Amir Johnson,placed on IL with illness
2017-04-08,Celtics,,James Young,illness (DTD)
2017-04-08,Hornets,,Marco Belinelli,strained left index finger (out for season)
2017-04-08,Jazz,,Joel Bolomboy,placed on IL
2017-04-08,Jazz,Raul Neto,,activated from IL
2017-04-08,Magic,,Stephen Zimmerman Jr.,placed on IL
2017-04-08,Pacers,,Al Jefferson,sprained left ankle (out for season)
2017-04-08,Pelicans,,Anthony Davis,sore left knee (out for season)
2017-04-08,Pelicans,,E'Twaun Moore,sprained left ankle (out for season)
2017-04-08,Spurs, Tony Parker,,returned to lineup
2017-04-08,Spurs,Manu Ginobili,,returned to lineup
2017-04-08,Spurs,Kawhi Leonard,,returned to lineup
2017-04-08,Spurs,LaMarcus Aldridge,,returned to lineup
2017-04-08,Spurs,Pau Gasol,,returned to lineup
2017-04-08,Warriors,,Kevon Looney,placed on IL
2017-04-08,Warriors,,Stephen Curry,bruised left knee (DTD)
2017-04-08,Warriors,Kevin Durant,,activated from IL
2017-04-08,Wizards,,Otto Porter Jr.,placed on IL with sore back
2017-04-08,Wizards,,Sheldon Mac,placed on IL
2017-04-08,Wizards,Chris McCullough,,activated from IL
2017-04-08,Wizards,Markieff Morris,,activated from IL
2017-04-09,Grizzlies,,Zach Randolph,placed on IL for rest
2017-04-09,Grizzlies,Jarell Martin,,activated from IL
2017-04-09,Hawks,,Kris Humphries,neck spasms (DTD)
2017-04-09,Hawks,,Ryan Kelly,placed on IL
2017-04-09,Hawks,Dennis Schroder,,returned to lineup
2017-04-09,Hawks,Paul Millsap,,activated from IL
2017-04-09,Jazz,,Derrick Favors,sore left knee (DTD)
2017-04-09,Jazz,,Raul Neto,sprained left ankle (DTD)
2017-04-09,Jazz,,Rodney Hood,sore right knee (DTD)
2017-04-09,Kings,Garrett Temple,,returned to lineup
2017-04-09,Kings,Ty Lawson,,returned to lineup
2017-04-09,Knicks,,Kristaps Porzingis,placed on IL with sore lower back (out for season)
2017-04-09,Mavericks,,Harrison Barnes,rest (out for season)
2017-04-09,Mavericks,,Jose Barea ,rest (DTD)
2017-04-09,Nets,,Quincy Acy,sore left ankle (out for season)
2017-04-09,Nuggets,,Kenneth Faried,placed on IL with sore back
2017-04-09,Nuggets,Will Barton,,activated from IL
2017-04-09,Rockets,,Eric Gordon,rest (DTD)
2017-04-09,Rockets,,Nene Hilario ,rest / finger injury (DTD)
2017-04-09,Rockets,,Trevor Ariza,placed on IL for rest
2017-04-09,Rockets,Clint Capela,,activated from IL
2017-04-09,Thunder,,Doug McDermott,sore left knee (DTD)
2017-04-09,Thunder,Andre Roberson,,returned to lineup
2017-04-09,Warriors,,Matt Barnes,"sprained right ankle, foot (DTD)"
2017-04-10,Blazers,,C.J. McCollum,strained right hand (DTD)
2017-04-10,Blazers,,Damian Lillard,rest / right foot injury (DTD)
2017-04-10,Bucks,,Jabari Parker,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
2017-04-10,Bucks,,Spencer Hawes,placed on IL
2017-04-10,Bucks,John Henson,,activated from IL
2017-04-10,Bucks,Malcolm Brogdon,,activated from IL
2017-04-10,Cavaliers,,Kyrie Irving,rest (DTD)
2017-04-10,Cavaliers,,LeBron James,rest (DTD)
2017-04-10,Celtics,Amir Johnson,,activated from IL
2017-04-10,Celtics,James Young,,returned to lineup
2017-04-10,Hornets,,Kemba Walker,sore left knee (out for season)
2017-04-10,Hornets,,Marco Belinelli,placed on IL with strained left index finger (out for season)
2017-04-10,Hornets,Johnny O'Bryant III,,activated from IL
2017-04-10,Jazz,,Derrick Favors,placed on IL with sore left knee
2017-04-10,Jazz,,Gordon Hayward,bruised left quadricep (DTD)
2017-04-10,Jazz,,Raul Neto,placed on IL with sprained left / right ankle
2017-04-10,Jazz,George Hill,,activated from IL
2017-04-10,Jazz,Joel Bolomboy,,activated from IL
2017-04-10,Nuggets,,Emmanuel Mudiay,sore/sprained right ankle (out for season)
2017-04-10,Pistons,,Beno Udrih,placed on IL with sprained right knee
2017-04-10,Pistons,Michael Gbinije,,activated from IL
2017-04-10,Rockets,,Patrick Beverley,shoulder injury (DTD)
2017-04-10,Rockets,Trevor Ariza,,activated from IL
2017-04-10,Spurs,,Joel Anthony,placed on IL
2017-04-10,Spurs,Danny Green,,activated from IL
2017-04-10,Warriors,,Kevon Looney,strained left hip (out for season)
2017-04-10,Warriors,,Klay Thompson,rest (DTD)
2017-04-10,Warriors,,Matt Barnes,"sprained right ankle, foot (DTD)"
2017-04-10,Warriors,Stephen Curry,,returned to lineup
2017-04-10,Wizards,,John Wall ,rest / quadriceps injury (DTD)
2017-04-10,Celtics,,Jordan Mickey,placed on IL
2017-04-10,Heat,Josh McRoberts,,activated from IL
2017-04-10,Cavaliers,Kay Felder,,activated from IL
2017-04-10,Heat,,Josh McRoberts,stress fracture in left foot (out for season)
2017-04-10,Rockets,,Kyle Wiltjer,placed on IL
2017-04-11,Hawks,,DeAndre Bembry,placed on IL
2017-04-11,Hawks,Kris Humphries,,returned to lineup
2017-04-11,Hawks,Thabo Sefolosha,,activated from IL
2017-04-11,Kings,,Arron Afflalo,DNP
2017-04-11,Kings,,Darren Collison,placed on IL with rest / migraine headache
2017-04-11,Kings,,Kosta Koufos,DNP
2017-04-11,Kings,,Tyreke Evans,DNP
2017-04-11,Lakers,Luol Deng,,activated from IL
2017-04-11,Mavericks,,Wes Matthews Jr.,rest (out for season)
2017-04-11,Mavericks,Jose Barea ,,returned to lineup
2017-04-11,Nuggets,,Danilo Gallinari,placed on IL for rest
2017-04-11,Nuggets,,Will Barton,rest (DTD)
2017-04-11,Nuggets,Darrell Arthur,,returned to lineup
2017-04-11,Pelicans,,Omer Asik,placed on IL with illness (out for season)
2017-04-11,Suns,,Devin Booker,DNP
2017-04-11,Thunder,,Doug McDermott,placed on IL with sore left knee
2017-04-11,Thunder,,Russell Westbrook,rest (DTD)
2017-04-11,Thunder,,Taj Gibson,rest (DTD)
2017-04-11,Thunder,Alex Abrines,,activated from IL
2017-04-11,Nuggets,Kenneth Faried,,activated from IL
2017-04-11,Nuggets,,Kenneth Faried,lower back injury (out for season)
2017-04-12,76ers,,Dario Saric,sore left heel (out for season)
2017-04-12,Blazers,,Al-Farouq Aminu,rest (DTD)
2017-04-12,Blazers,,C.J. McCollum,rest (DTD)
2017-04-12,Blazers,,Damian Lillard,rest (DTD)
2017-04-12,Bucks,,Giannis Antetokounmpo,rest (DTD)
2017-04-12,Bucks,,Khris Middleton,placed on IL
2017-04-12,Bucks,,Matthew Dellavedova,rest (DTD)
2017-04-12,Bucks,,Tony Snell,rest (DTD)
2017-04-12,Bucks,Spencer Hawes,,activated from IL
2017-04-12,Bulls,,Isaiah Canaan,placed on IL
2017-04-12,Bulls,Rajon Rondo,,activated from IL
2017-04-12,Cavaliers,,Kay Felder,placed on IL
2017-04-12,Cavaliers,,Kevin Love,rest (DTD)
2017-04-12,Cavaliers,,LeBron James,placed on IL for rest
2017-04-12,Cavaliers,Tristan Thompson,,activated from IL
2017-04-12,Grizzlies,,James Ennis,placed on IL with right knee injury (out for season)
2017-04-12,Grizzlies,Zach Randolph,,activated from IL
2017-04-12,Hawks,,Dennis Schroder,rest (DTD)
2017-04-12,Hawks,,Dwight Howard,rest (DTD)
2017-04-12,Hawks,,Kent Bazemore,placed on IL
2017-04-12,Hawks,,Paul Millsap,placed on IL for rest
2017-04-12,Hawks,,Tim Hardaway Jr.,rest (DTD)
2017-04-12,Hawks,DeAndre Bembry,,activated from IL
2017-04-12,Hawks,Ryan Kelly,,activated from IL
2017-04-12,Jazz,,Joel Bolomboy,placed on IL
2017-04-12,Jazz,Derrick Favors,,activated from IL
2017-04-12,Jazz,Gordon Hayward,,returned to lineup
2017-04-12,Jazz,Rodney Hood,,returned to lineup
2017-04-12,Kings,,Anthony Tolliver,placed on IL for rest (out for season)
2017-04-12,Kings,,Kosta Koufos,rest (DTD)
2017-04-12,Kings,,Ty Lawson,rest (out for season)
2017-04-12,Kings,,Tyreke Evans,rest / toe injury (out for season)
2017-04-12,Kings,Arron Afflalo,,returned to lineup
2017-04-12,Knicks,Carmelo Anthony,,returned to lineup
2017-04-12,Magic,,C.J. Watson,placed on IL
2017-04-12,Magic,Jeff Green,,activated from IL
2017-04-12,Magic,Stephen Zimmerman Jr.,,activated from IL
2017-04-12,Mavericks,,Dirk Nowitzki,rest (out for season)
2017-04-12,Mavericks,,Jose Barea ,placed on IL (out for season)
2017-04-12,Nets,,Brook Lopez,rest (DTD)
2017-04-12,Nets,,Jeremy Lin,rest (out for season)
2017-04-12,Nets,,Trevor Booker,rest (out for season)
2017-04-12,Nuggets,,Emmanuel Mudiay,placed on IL with sore/sprained right ankle (out for season)
